seed,best_score
125,902
142,1009
159,874
176,923
193,991
210,893
227,845
244,948
261,968
278,1012
295,887
312,870
329,750
346,812
363,873
380,947
397,873
414,963
431,889
448,827
465,933
482,884
499,829
516,862
533,905
550,838
567,852
584,881
601,941
618,879
635,849
652,830
669,957
686,917
703,897
720,857
737,862
754,964
771,1051
788,893
805,1027
822,896
839,925
856,832
873,803
890,926
907,924
924,883
941,837
958,868
975,913
992,926
1009,860
1026,950
1043,820
1060,881
1077,1013
1094,910
1111,910
1128,892
1145,916
1162,886
1179,890
1196,976
1213,881
1230,849
1247,809
1264,837
1281,904
1298,898
1315,877
1332,964
1349,964
1366,908
1383,886
1400,868
1417,820
1434,876
1451,958
1468,941
1485,905
1502,851
1519,913
1536,844
1553,914
1570,860
1587,911
1604,852
1621,902
1638,857
1655,914
1672,830
1689,892
1706,841
1723,955
1740,848
1757,920
1774,769
1791,861
1808,904
1825,850
1842,883
1859,952
1876,916
1893,854
1910,838
1927,846
1944,990
1961,925
1978,913
1995,821
2012,979
2029,835
2046,856
2063,871
2080,946
2097,885
2114,898
2131,856
2148,779
2165,819
2182,946
2199,881
2216,832
2233,918
2250,906
2267,826
2284,905
2301,811
2318,1030
2335,847
2352,861
2369,907
2386,909
2403,984
2420,932
2437,833
2454,897
2471,831
2488,843
2505,828
2522,814
2539,903
2556,861
2573,932
2590,800
2607,959
2624,921
2641,930
2658,859
2675,876
2692,918
2709,898
2726,851
2743,984
2760,842
2777,933
2794,911
2811,848
2828,864
2845,882
2862,864
2879,841
2896,823
2913,875
2930,917
2947,790
2964,831
2981,835
2998,823
3015,892
3032,897
3049,1038
3066,990
3083,959
3100,918
3117,885
3134,967
3151,881
3168,908
3185,912
3202,829
3219,893
3236,908
3253,925
3270,865
3287,809
3304,880
3321,800
3338,964
3355,761
3372,903
3389,826
3406,918
3423,855
3440,959
3457,917
3474,892
3491,848
3508,874
3525,878
3542,887
3559,822
3576,910
3593,988
3610,811
3627,804
3644,877
3661,831
3678,937
3695,814
3712,853
3729,829
3746,948
3763,812
3780,825
3797,881
3814,826
3831,755
3848,905
3865,909
3882,914
3899,926
3916,898
3933,867
3950,927
3967,902
3984,928
4001,982
4018,869
4035,908
4052,845
4069,971
4086,954
4103,819
4120,957
4137,834
4154,928
4171,816
4188,884
4205,855
4222,1019
4239,877
4256,872
4273,857
4290,861
4307,841
4324,939
4341,881
4358,860
4375,932
4392,908
4409,999
4426,824
4443,945
4460,911
4477,924
4494,912
4511,821
4528,992
4545,869
4562,823
4579,909
4596,851
4613,881
4630,844
4647,974
4664,979
4681,911
4698,920
4715,804
4732,911
4749,948
4766,818
4783,830
4800,836
4817,847
4834,844
4851,810
4868,912
4885,885
4902,860
4919,874
4936,1011
4953,917
4970,935
4987,909
5004,929
5021,918
5038,973
5055,946
5072,945
5089,869
5106,928
5123,982
5140,919
5157,817
5174,872
5191,924
5208,818
5225,959
5242,863
5259,852
5276,948
5293,890
5310,970
5327,987
5344,842
5361,953
5378,902
5395,903
5412,951
5429,852
5446,906
5463,996
5480,949
5497,1012
5514,870
5531,908
5548,953
5565,947
5582,936
5599,971
5616,929
5633,838
5650,845
5667,886
5684,909
5701,886
5718,810
5735,976
5752,912
5769,851
5786,865
5803,806
5820,872
5837,963
5854,865
5871,806
5888,801
5905,854
5922,772
5939,821
5956,933
5973,871
5990,888
6007,873
6024,910
6041,938
6058,886
6075,873
6092,982
6109,934
6126,825
6143,869
6160,899
6177,867
6194,906
6211,856
6228,926
6245,908
6262,899
6279,891
6296,909
6313,804
6330,866
6347,827
6364,826
6381,861
6398,892
6415,903
6432,861
6449,816
6466,858
6483,846
6500,799
6517,866
6534,1007
6551,919
6568,791
6585,845
6602,987
6619,867
6636,916
6653,927
6670,861
6687,851
6704,912
6721,946
6738,911
6755,909
6772,894
6789,925
6806,887
6823,815
6840,927
6857,934
6874,891
6891,883
6908,796
6925,777
6942,896
6959,885
6976,935
6993,877
7010,999
7027,977
7044,979
7061,884
7078,889
7095,893
7112,893
7129,880
7146,897
7163,923
7180,911
7197,831
7214,914
7231,900
7248,815
7265,922
7282,881
7299,913
7316,862
7333,881
7350,830
7367,804
7384,821
7401,855
7418,845
7435,828
7452,920
7469,924
7486,892
7503,841
7520,926
7537,727
7554,895
7571,869
7588,973
7605,908
7622,897
7639,979
7656,926
7673,998
7690,861
7707,855
7724,879
7741,999
7758,898
7775,892
7792,865
7809,876
7826,889
7843,824
7860,879
7877,865
7894,921
7911,902
7928,917
7945,928
7962,933
7979,970
7996,787
8013,917
8030,833
8047,880
8064,917
8081,800
8098,892
8115,885
8132,864
8149,879
8166,863
8183,911
8200,891
8217,904
8234,945
8251,955
8268,778
8285,944
8302,966
8319,825
8336,1027
8353,945
8370,949
8387,887
8404,868
8421,881
8438,835
8455,841
8472,893
8489,958
8506,863
8523,928
8540,898
8557,971
8574,859
8591,886
8608,861
